product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
P001,"Wayona USB Cable",Electronics,₹399,₹1099,64%,4.2,24269,"Fast charging cable",u1,Rahul,r1,Good,"Very useful product",img,link
P002,"Ambrane Type C Cable",Electronics,₹199,₹349,43%,4,43994,"Charging cable",u2,Priya,r2,Nice,"Good quality",img,link
P003,"boAt Bassheads 100",Electronics,₹349,₹999,65%,4.1,363713,"Bass earphones",u3,Amit,r3,Excellent,"Amazing sound",img,link
P004,"Redmi Phone",Mobiles,₹9499,₹12999,27%,4.2,31379,Smartphone,u4,Neha,r4,Nice,"Battery good",img,link
P005,"Samsung Charger",Electronics,₹599,₹999,40%,4.3,18999,"Fast charger",u5,Karan,r5,Useful,"Charges fast",img,link
P006,"HP Mouse",Computers,₹499,₹899,44%,4.1,15000,"Wireless mouse",u6,Riya,r6,Smooth,"Works well",img,link
P007,"Dell Keyboard",Computers,₹799,₹1499,47%,4,9200,"USB keyboard",u7,Vikas,r7,Good,"Comfortable typing",img,link
P008,"Sony Headphones",Electronics,₹1999,₹3999,50%,4.5,8500,"Noise cancellation",u8,Anjali,r8,Superb,"Great bass",img,link
P009,"Mi Power Bank",Electronics,₹1299,₹2499,48%,4.3,22500,"10000mah powerbank",u9,Arjun,r9,Worth,"Good backup",img,link
P010,"Realme Buds",Electronics,₹1499,₹2999,50%,4.2,12000,"Wireless buds",u10,Pooja,r10,Nice,"Sound clear",img,link
P011,"Boat Rockerz",Electronics,₹1299,₹2999,57%,4.1,17000,"Bluetooth headset",u11,Raj,r11,Good,"Battery backup nice",img,link
P012,"Asus Laptop",Computers,₹45999,₹55999,18%,4.4,4500,"Laptop i5",u12,Sneha,r12,Excellent,"Fast performance",img,link
P013,"Lenovo Laptop",Computers,₹48999,₹60999,20%,4.3,5300,"Laptop Ryzen",u13,Rohit,r13,Great,"Smooth usage",img,link
